,src_ip,src_port,dst_ip,dst_port,protocol,bidirectional_packets,bidirectional_bytes,application_name
22417,0.0.144.229,0,115.139.231.232,0,107,1,1219,Unknown
22418,0.0.144.120,0,156.43.83.248,0,107,1,121,Unknown
22419,0.0.144.101,0,121.21.231.242,0,107,1,1199,Unknown
22420,0.0.144.101,0,115.143.231.232,0,107,1,1236,Unknown
22421,0.0.144.101,0,120.28.231.240,0,107,1,1225,Unknown
22422,0.0.144.101,0,123.248.231.247,0,107,1,1200,Unknown
22423,0.0.144.101,0,124.105.231.248,0,107,1,1199,Unknown
22424,0.0.144.120,0,157.98.83.253,0,107,1,134,Unknown
22425,0.0.144.101,0,114.113.231.230,0,107,1,1210,Unknown
22426,0.0.144.101,0,121.28.231.242,0,107,1,1199,Unknown
22427,0.0.144.101,0,115.150.231.232,0,107,1,1236,Unknown
22428,0.0.144.101,0,120.35.231.240,0,107,1,1236,Unknown
22429,0.0.144.101,0,123.255.231.247,0,107,1,1214,Unknown
22430,0.0.144.101,0,120.42.231.240,0,107,1,1236,Unknown
22431,0.0.144.101,0,119.40.231.239,0,107,1,1231,Unknown
22432,0.0.144.101,0,120.49.231.240,0,107,1,1236,Unknown
22433,0.0.144.120,0,157.218.83.255,0,107,1,136,Unknown
22434,0.0.144.101,0,115.157.231.232,0,107,1,1236,Unknown
22435,0.0.144.120,0,157.165.83.254,0,107,1,127,Unknown
22436,0.0.144.101,0,124.112.231.248,0,107,1,1199,Unknown
22437,0.0.144.101,0,124.1.231.247,0,107,1,1214,Unknown
22438,0.0.144.101,0,119.47.231.239,0,107,1,1231,Unknown
22439,0.0.144.101,0,121.35.231.242,0,107,1,1199,Unknown
22440,0.0.144.101,0,114.120.231.230,0,107,1,1210,Unknown
22441,0.0.144.120,0,156.124.83.250,0,107,1,116,Unknown
22442,0.0.144.101,0,120.54.231.241,0,107,1,1231,Unknown
22443,0.0.144.120,0,156.48.83.249,0,107,1,119,Unknown
22444,0.0.144.101,0,115.164.231.232,0,107,1,1240,Unknown
22445,0.0.144.101,0,121.42.231.242,0,107,1,76,Unknown
22446,0.0.144.120,0,157.105.83.253,0,107,1,146,Unknown
22447,0.0.144.101,0,124.126.231.248,0,107,1,1212,Unknown
22448,0.0.144.101,0,124.8.231.247,0,107,1,1214,Unknown
22449,0.0.144.101,0,120.61.231.241,0,107,1,1231,Unknown
